clube,n_casa,n_fora,pts_casa,pts_fora,ppg_casa,ppg_fora,vantagem_ppg,share_pts_casa,pct_vitoria_casa,pct_empate_casa,pct_derrota_casa,saldo_casa_pj,gols_pro_casa_pj,gols_contra_casa_pj,fator_gols_mando,p_valor
paysandu,67,67,121,33,1.8060,0.4925,1.3134,0.7857,0.5224,0.2388,0.2388,0.6269,1.9701,1.3433,,
guarani,65,65,112,35,1.7231,0.5385,1.1846,0.7619,0.4615,0.3385,0.2000,0.4000,1.2769,0.8769,,
portuguesa,57,57,95,36,1.6667,0.6316,1.0351,0.7252,0.4211,0.4035,0.1754,0.6316,1.5789,0.9474,,
athletico-pr,409,409,790,368,1.9315,0.8998,1.0318,0.6822,0.5575,0.2592,0.1834,0.7115,1.6357,0.9242,1.6342,0.0000
nautico,95,95,145,55,1.5263,0.5789,0.9474,0.7250,0.4421,0.2000,0.3579,0.2000,1.3789,1.1789,1.4390,0.0114
sport,209,209,349,151,1.6699,0.7225,0.9474,0.6980,0.4641,0.2775,0.2584,0.3684,1.3923,1.0239,1.6585,0.0000
criciuma,103,103,161,65,1.5631,0.6311,0.9320,0.7124,0.4369,0.2524,0.3107,0.1748,1.3981,1.2233,1.5455,0.0015
gremio,388,388,768,410,1.9794,1.0567,0.9227,0.6520,0.5851,0.2242,0.1907,0.7990,1.7165,0.9175,1.6984,0.0000
coritiba,295,295,493,225,1.6712,0.7627,0.9085,0.6866,0.4746,0.2475,0.2780,0.4237,1.3695,0.9458,1.3705,0.0001
juventude,162,162,261,115,1.6111,0.7099,0.9012,0.6941,0.4198,0.3519,0.2284,0.3210,1.3642,1.0432,1.3377,0.0068
parana,124,124,207,97,1.6694,0.7823,0.8871,0.6809,0.4758,0.2419,0.2823,0.4032,1.5000,1.0968,1.4741,0.0013
santos,409,409,796,441,1.9462,1.0782,0.8680,0.6435,0.5623,0.2592,0.1785,0.8289,1.7800,0.9511,1.5794,0.0000
internacional,409,409,818,466,2.0000,1.1394,0.8606,0.6371,0.5868,0.2396,0.1736,0.7702,1.6259,0.8557,1.5545,0.0000
america-mg,114,114,164,71,1.4386,0.6228,0.8158,0.6979,0.3947,0.2544,0.3509,0.0175,1.1667,1.1491,1.4607,0.0059
santa-cruz,38,38,45,14,1.1842,0.3684,0.8158,0.7627,0.3421,0.1579,0.5000,-0.2105,1.3158,1.5263,,
fortaleza,177,177,307,164,1.7345,0.9266,0.8079,0.6518,0.4915,0.2599,0.2486,0.4407,1.4915,1.0508,1.6471,0.0000
ponte-preta,181,181,289,144,1.5967,0.7956,0.8011,0.6674,0.4586,0.2210,0.3204,0.1934,1.4144,1.2210,1.6069,0.0000
vitoria,217,217,341,174,1.5714,0.8018,0.7696,0.6621,0.4378,0.2581,0.3041,0.3088,1.5438,1.2350,1.6230,0.0000
goias,295,295,498,271,1.6881,0.9186,0.7695,0.6476,0.4746,0.2644,0.2610,0.4678,1.6203,1.1525,1.5139,0.0000
ceara,133,133,204,104,1.5338,0.7820,0.7519,0.6623,0.3910,0.3609,0.2481,0.2406,1.2030,0.9624,1.3274,0.0230
sao-paulo,428,428,852,531,1.9907,1.2407,0.7500,0.6161,0.5748,0.2664,0.1589,0.8084,1.6729,0.8645,1.4227,0.0000
bahia,232,232,364,191,1.5690,0.8233,0.7457,0.6559,0.4267,0.2888,0.2845,0.2672,1.3319,1.0647,1.4450,0.0000
atletico-mg,409,408,765,462,1.8704,1.1324,0.7381,0.6235,0.5501,0.2200,0.2298,0.6601,1.7213,1.0611,1.4880,0.0000
corinthians,409,409,780,483,1.9071,1.1809,0.7262,0.6176,0.5403,0.2861,0.1736,0.6112,1.5232,0.9120,1.4489,0.0000
figueirense,219,219,354,196,1.6164,0.8950,0.7215,0.6436,0.4338,0.3151,0.2511,0.3425,1.4201,1.0776,1.3768,0.0005
sao-caetano,86,86,149,87,1.7326,1.0116,0.7209,0.6314,0.5000,0.2326,0.2674,0.5116,1.3953,0.8837,1.3210,0.0587
bragantino,95,95,163,96,1.7158,1.0105,0.7053,0.6293,0.4632,0.3263,0.2105,0.5368,1.5368,1.0000,1.4388,0.0057
