temporada,n_casa,n_fora,pts_casa,pts_fora,ppg_casa,ppg_fora,vantagem_ppg,share_pts_casa,pct_vitoria_casa,pct_empate_casa,pct_derrota_casa,saldo_casa_pj,gols_pro_casa_pj,gols_contra_casa_pj,vantagem_ppg_sem_publico,share_pts_casa_sem_publico,n_casa_sem_publico
2003,552,552,1033,481,1.8714,0.8714,1.0000,0.6823,0.5380,0.2572,0.2047,0.6757,1.7808,1.1051,,,
2004,552,552,1004,512,1.8188,0.9275,0.8913,0.6623,0.5217,0.2536,0.2246,0.6522,1.7174,1.0652,,,
2005,462,462,807,477,1.7468,1.0325,0.7143,0.6285,0.5087,0.2208,0.2706,0.4719,1.8030,1.3312,0.5000,0.5918,18
2006,380,380,670,373,1.7632,0.9816,0.7816,0.6424,0.5026,0.2553,0.2421,0.4684,1.5895,1.1211,1.7143,0.8000,7
2007,380,380,666,384,1.7526,1.0105,0.7421,0.6343,0.5053,0.2368,0.2579,0.5816,1.6684,1.0868,,,
2008,380,380,720,324,1.8947,0.8526,1.0421,0.6897,0.5474,0.2526,0.2000,0.7395,1.7316,0.9921,,,
2009,380,380,687,351,1.8079,0.9237,0.8842,0.6618,0.5132,0.2684,0.2184,0.5895,1.7342,1.1447,,,
2010,380,380,655,367,1.7237,0.9658,0.7579,0.6409,0.4711,0.3105,0.2184,0.4842,1.5289,1.0447,,,
2011,380,380,657,378,1.7289,0.9947,0.7342,0.6348,0.4842,0.2763,0.2395,0.5342,1.6053,1.0711,,,
2012,380,380,654,381,1.7211,1.0026,0.7184,0.6319,0.4816,0.2763,0.2421,0.4684,1.4711,1.0026,,,
2013,380,380,660,372,1.7368,0.9789,0.7579,0.6395,0.4842,0.2842,0.2316,0.4737,1.4684,0.9947,,,
2014,380,380,683,365,1.7974,0.9605,0.8368,0.6517,0.5184,0.2421,0.2395,0.5789,1.4211,0.8421,,,
2015,380,380,691,358,1.8184,0.9421,0.8763,0.6587,0.5263,0.2395,0.2342,0.5605,1.4605,0.9000,,,
2016,379,379,700,343,1.8470,0.9050,0.9420,0.6711,0.5330,0.2480,0.2190,0.5699,1.4881,0.9182,,,
2017,380,380,604,433,1.5895,1.1395,0.4500,0.5824,0.4395,0.2711,0.2895,0.3395,1.3842,1.0447,,,
2018,380,380,716,314,1.8842,0.8263,1.0579,0.6951,0.5316,0.2895,0.1789,0.5868,1.3816,0.7947,,,
2019,380,380,650,392,1.7105,1.0316,0.6789,0.6238,0.4842,0.2579,0.2579,0.4579,1.3816,0.9237,,,
2020,380,380,621,411,1.6342,1.0816,0.5526,0.6017,0.4500,0.2842,0.2658,0.3368,1.4105,1.0737,0.5526,0.6017,380
2021,380,380,635,392,1.6711,1.0316,0.6395,0.6183,0.4579,0.2974,0.2447,0.3263,1.2711,0.9447,0.5283,0.5981,318
2022,380,380,612,420,1.6105,1.1053,0.5053,0.5930,0.4421,0.2842,0.2737,0.4289,1.4053,0.9763,,,
2023,380,380,632,410,1.6632,1.0789,0.5842,0.6065,0.4684,0.2579,0.2737,0.3474,1.4184,1.0711,,,
2024,380,380,641,398,1.6868,1.0474,0.6395,0.6169,0.4737,0.2658,0.2605,0.3763,1.4105,1.0342,,,
