clube,temporada,n_casa,n_fora,pts_casa,pts_fora,ppg_casa,ppg_fora,vantagem_ppg,share_pts_casa,pct_vitoria_casa,pct_empate_casa,pct_derrota_casa,saldo_casa_pj,gols_pro_casa_pj,gols_contra_casa_pj
america-mg,2011,19,19,28,9,1.4737,0.4737,1.0000,0.7568,0.3684,0.3684,0.2632,0.3158,1.7368,1.4211
america-mg,2016,19,19,24,4,1.2632,0.2105,1.0526,0.8571,0.3684,0.1579,0.4737,-0.3684,0.6842,1.0526
america-mg,2018,19,19,31,9,1.6316,0.4737,1.1579,0.7750,0.4211,0.3684,0.2105,0.2632,1.1579,0.8947
america-mg,2021,19,19,33,20,1.7368,1.0526,0.6842,0.6226,0.4737,0.3158,0.2105,0.5789,1.1579,0.5789
america-mg,2022,19,19,31,22,1.6316,1.1579,0.4737,0.5849,0.4737,0.2105,0.3158,0.2105,1.1579,0.9474
america-mg,2023,19,19,17,7,0.8947,0.3684,0.5263,0.7083,0.2632,0.1053,0.6316,-0.8947,1.1053,2.0000
america-rn,2007,19,19,9,8,0.4737,0.4211,0.0526,0.5294,0.1053,0.1579,0.7368,-1.2105,0.6316,1.8421
athletico-pr,2003,23,23,46,15,2.0000,0.6522,1.3478,0.7541,0.6087,0.1739,0.2174,0.7391,1.9565,1.2174
athletico-pr,2004,23,23,53,33,2.3043,1.4348,0.8696,0.6163,0.6957,0.2174,0.0870,1.6522,2.4348,0.7826
athletico-pr,2005,21,21,44,17,2.0952,0.8095,1.2857,0.7213,0.6190,0.2381,0.1429,1.0952,2.3333,1.2381
athletico-pr,2006,19,19,30,18,1.5789,0.9474,0.6316,0.6250,0.4737,0.1579,0.3684,0.2105,1.7368,1.5263
athletico-pr,2007,19,19,39,15,2.0526,0.7895,1.2632,0.7222,0.5789,0.3158,0.1053,0.7368,1.5263,0.7895
athletico-pr,2008,19,19,36,9,1.8947,0.4737,1.4211,0.8000,0.5263,0.3158,0.1579,0.8421,1.7368,0.8947
athletico-pr,2009,19,19,33,15,1.7368,0.7895,0.9474,0.6875,0.4737,0.3158,0.2105,0.3158,1.2632,0.9474
athletico-pr,2010,19,19,42,18,2.2105,0.9474,1.2632,0.7000,0.6316,0.3158,0.0526,0.5789,1.4211,0.8421
athletico-pr,2011,19,19,32,9,1.6842,0.4737,1.2105,0.7805,0.4211,0.4211,0.1579,0.2632,1.2105,0.9474
athletico-pr,2013,19,19,44,20,2.3158,1.0526,1.2632,0.6875,0.6842,0.2632,0.0526,1.1579,2.0526,0.8947
athletico-pr,2014,19,19,35,19,1.8421,1.0000,0.8421,0.6481,0.5263,0.2632,0.2105,0.5263,1.2632,0.7368
athletico-pr,2015,19,19,33,18,1.7368,0.9474,0.7895,0.6471,0.4737,0.3158,0.2105,0.5263,1.5789,1.0526
