clube,estadio_id,temporada_ini,temporada_fim,n_temporadas,n_jogos_casa,ppg_casa,ppg_fora_mesmas_temps,vantagem_ppg,pct_vitoria_casa,saldo_casa_pj,vantagem_vs_media_clube
america-mg,arena_do_jacare,2011,2011,1,15,1.4667,0.4737,0.9930,0.3333,0.4667,0.0784
america-mg,independencia,2016,2023,5,90,1.4889,0.6526,0.8363,0.4222,0.0222,-0.0784
america-rn,machadao,2007,2007,1,19,0.4737,0.4211,0.0526,0.1053,-1.2105,0.0000
athletico-pr,arena_da_baixada,2003,2024,20,377,1.9284,0.8923,1.0361,0.5570,0.7109,-0.1556
athletico-pr,vila_capanema,2013,2013,1,15,2.4000,1.0526,1.3474,0.7333,0.8667,0.1556
atletico-go,serra_dourada,2010,2012,3,55,1.3091,0.7895,0.5196,0.3636,0.1818,0.1945
atletico-go,olimpico_goiania,2017,2020,2,25,1.1200,1.1053,0.0147,0.2400,-0.0400,-0.3104
atletico-go,antonio_accioly,2021,2024,3,53,1.2830,0.8421,0.4409,0.3019,-0.0377,0.1158
atletico-mg,mineirao,2003,2022,9,157,1.8153,1.1768,0.6385,0.5223,0.6561,-0.1823
atletico-mg,arena_do_jacare,2010,2011,2,28,1.8571,0.7632,1.0940,0.5714,0.6071,0.2732
atletico-mg,independencia,2012,2019,8,133,2.0526,1.1325,0.9202,0.6165,0.8120,0.0994
atletico-mg,arena_mrv,2023,2024,2,25,1.9200,1.2895,0.6305,0.5600,0.5600,-0.1903
avai,ressacada,2009,2022,7,132,1.3409,0.7068,0.6341,0.3333,0.0379,0.0000
bahia,fonte_nova_velha,2003,2013,2,40,1.5750,0.6429,0.9321,0.4250,0.1000,0.2400
bahia,pituacu,2011,2012,2,38,1.3684,1.0789,0.2895,0.3158,0.0789,-0.4027
bahia,arena_fonte_nova,2014,2024,8,125,1.6640,0.8092,0.8548,0.4640,0.3920,0.1627
barueri,arena_barueri,2009,2009,1,18,2.0000,0.6316,1.3684,0.5556,1.1667,0.0000
botafogo-rj,caio_martins,2004,2004,1,19,1.6316,0.6957,0.9359,0.4211,0.4211,0.1574
botafogo-rj,luso_brasileiro,2005,2016,2,30,1.9333,1.0750,0.8583,0.5667,0.6333,0.0798
botafogo-rj,maracana,2006,2014,4,52,1.6731,0.8684,0.8047,0.4808,0.4808,0.0261
botafogo-rj,engenhao,2008,2024,12,220,1.6818,1.1667,0.5152,0.4773,0.4591,-0.2634
