clube,fator_gols_mando,ic95_baixo,ic95_alto,p_valor
gremio,1.6984,1.4931,1.9318,0.0000
sport,1.6585,1.3664,2.0132,0.0000
fortaleza,1.6471,1.3473,2.0135,0.0000
athletico-pr,1.6342,1.4384,1.8567,0.0000
vitoria,1.6230,1.3553,1.9437,0.0000
avai,1.6082,1.2482,2.0721,0.0002
ponte-preta,1.6069,1.3060,1.9771,0.0000
santos,1.5794,1.3993,1.7827,0.0000
internacional,1.5545,1.3718,1.7614,0.0000
criciuma,1.5455,1.1820,2.0207,0.0015
botafogo-rj,1.5157,1.3246,1.7344,0.0000
goias,1.5139,1.3045,1.7568,0.0000
vasco,1.5016,1.3009,1.7332,0.0000
atletico-mg,1.4880,1.3189,1.6787,0.0000
parana,1.4741,1.1645,1.8661,0.0013
cruzeiro,1.4675,1.2924,1.6664,0.0000
america-mg,1.4607,1.1154,1.9128,0.0059
corinthians,1.4489,1.2758,1.6455,0.0000
bahia,1.4450,1.2114,1.7237,0.0000
palmeiras,1.4396,1.2746,1.6261,0.0000
nautico,1.4390,1.0856,1.9074,0.0114
bragantino,1.4388,1.1118,1.8618,0.0057
sao-paulo,1.4227,1.2638,1.6017,0.0000
flamengo,1.3822,1.2297,1.5537,0.0000
figueirense,1.3768,1.1512,1.6467,0.0005
coritiba,1.3705,1.1742,1.5996,0.0001
fluminense,1.3436,1.1899,1.5172,0.0000
juventude,1.3377,1.0834,1.6518,0.0068
ceara,1.3274,1.0399,1.6945,0.0230
sao-caetano,1.3210,0.9898,1.7631,0.0587
chapecoense,1.2919,1.0068,1.6578,0.0441
atletico-go,1.2000,0.9589,1.5017,0.1111
