clube,temporada_ini,temporada_fim,n_temporadas,media_metrica,inclinacao_por_decada,ic95_baixo_decada,ic95_alto_decada,inclinacao_theil_sen_decada,p_valor,r2,classe,inclinacao_por_temporada
chapecoense,2014,2021,7,0.5770,-1.4176,-3.4076,0.5724,-1.6541,0.1266,0.4014,Estável,-0.1418
vitoria,2003,2024,11,0.7696,-0.6017,-1.1887,-0.0147,-0.5378,0.0456,0.3740,Caindo,-0.0602
sport,2007,2021,11,0.9474,-0.4936,-0.9818,-0.0054,-0.5263,0.0480,0.3676,Caindo,-0.0494
america-mg,2011,2023,6,0.8158,-0.4900,-1.0770,0.0970,-0.7368,0.0813,0.5732,Estável,-0.0490
ceara,2010,2022,7,0.7519,-0.4325,-1.5705,0.7056,-0.4785,0.3735,0.1603,Estável,-0.0432
botafogo-rj,2004,2024,19,0.6213,-0.3226,-0.6157,-0.0294,-0.3158,0.0329,0.2407,Caindo,-0.0323
goias,2003,2023,15,0.7695,-0.2704,-0.5428,0.0021,-0.2632,0.0516,0.2611,Estável,-0.0270
figueirense,2003,2016,11,0.7215,-0.2578,-0.8381,0.3225,-0.3947,0.3412,0.1009,Estável,-0.0258
avai,2009,2022,7,0.6241,-0.2471,-0.9927,0.4984,-0.2632,0.4331,0.1268,Estável,-0.0247
flamengo,2003,2024,22,0.6472,-0.2399,-0.4112,-0.0685,-0.2422,0.0085,0.2989,Caindo,-0.0240
athletico-pr,2003,2024,21,1.0318,-0.1898,-0.4714,0.0918,-0.2105,0.1744,0.0948,Estável,-0.0190
cruzeiro,2003,2024,19,0.6550,-0.1588,-0.4945,0.1768,-0.0877,0.3321,0.0554,Estável,-0.0159
palmeiras,2004,2024,20,0.6632,-0.1438,-0.3962,0.1086,-0.2423,0.2469,0.0737,Estável,-0.0144
gremio,2003,2024,20,0.9227,-0.1407,-0.3923,0.1109,-0.0916,0.2552,0.0713,Estável,-0.0141
atletico-go,2010,2024,8,0.3618,-0.1232,-0.5882,0.3419,-0.0843,0.5410,0.0654,Estável,-0.0123
parana,2003,2018,6,0.8871,-0.1192,-0.5599,0.3215,-0.1983,0.4944,0.1236,Estável,-0.0119
juventude,2003,2024,8,0.9012,-0.1088,-0.6143,0.3967,-0.1333,0.6173,0.0442,Estável,-0.0109
coritiba,2003,2023,15,0.9085,-0.1064,-0.5259,0.3132,-0.1316,0.5931,0.0226,Estável,-0.0106
internacional,2003,2024,21,0.8606,-0.0894,-0.3731,0.1942,-0.0816,0.5172,0.0224,Estável,-0.0089
vasco,2003,2024,17,0.6727,-0.0829,-0.3732,0.2074,-0.0843,0.5518,0.0241,Estável,-0.0083
bahia,2003,2024,12,0.7457,-0.0416,-0.5047,0.4215,0.2895,0.8453,0.0040,Estável,-0.0042
santos,2003,2023,21,0.8680,-0.0389,-0.3217,0.2439,-0.0351,0.7766,0.0043,Estável,-0.0039
atletico-mg,2003,2024,21,0.7381,-0.0023,-0.3570,0.3524,-0.0000,0.9893,0.0000,Estável,-0.0002
fortaleza,2003,2024,9,0.8079,-0.0015,-0.4380,0.4349,-0.0768,0.9936,0.0000,Estável,-0.0002
sao-paulo,2003,2024,22,0.7500,0.0373,-0.2406,0.3153,0.0000,0.7823,0.0039,Estável,0.0037
fluminense,2003,2024,22,0.6659,0.0896,-0.1862,0.3655,0.1053,0.5056,0.0225,Estável,0.0090
corinthians,2003,2024,21,0.7262,0.1629,-0.0572,0.3830,0.1960,0.1379,0.1121,Estável,0.0163
ponte-preta,2003,2017,9,0.8011,0.3315,-0.2010,0.8641,0.4432,0.1845,0.2364,Estável,0.0332
