clube,estadio_id,temporada_ini,temporada_fim,n_temporadas,media_metrica,inclinacao_por_decada,ic95_baixo_decada,ic95_alto_decada,p_valor,classe
america-mg,independencia,2016,2023,5,0.8170,-1.1338,-1.7819,-0.4857,0.0114,Caindo
athletico-pr,arena_da_baixada,2003,2024,20,1.0368,-0.2141,-0.4982,0.0700,0.1308,Estável
atletico-mg,independencia,2012,2019,8,0.9253,-0.9499,-2.8490,0.9493,0.2669,Estável
atletico-mg,mineirao,2003,2022,9,0.6200,0.2093,-0.3449,0.7634,0.4015,Estável
avai,ressacada,2009,2022,7,0.6320,-0.2324,-0.9650,0.5003,0.4520,Estável
bahia,arena_fonte_nova,2014,2024,8,0.8501,0.2176,-0.6382,1.0735,0.5567,Estável
botafogo-rj,engenhao,2008,2024,12,0.5189,-0.2941,-0.8447,0.2564,0.2614,Estável
botafogo-rj,maracana,2006,2014,4,0.7540,0.2656,-2.2585,2.7898,0.6951,Estável
bragantino,nabizao,2020,2024,5,0.7053,0.6316,-2.5582,3.8214,0.5733,Estável
ceara,arena_castelao,2010,2022,6,0.7610,-0.6990,-2.2518,0.8538,0.2795,Estável
chapecoense,arena_conda,2014,2021,7,0.5770,-1.4176,-3.4076,0.5724,0.1266,Estável
corinthians,arena_corinthians,2014,2024,11,0.8190,-0.2187,-0.8925,0.4550,0.4814,Estável
corinthians,pacaembu,2003,2013,10,0.7316,0.1662,-0.5885,0.9210,0.6252,Estável
coritiba,couto_pereira,2003,2023,15,0.9120,-0.1192,-0.5558,0.3174,0.5653,Estável
criciuma,heriberto_hulse,2003,2024,5,0.9476,-0.4371,-0.8775,0.0033,0.0509,Estável
cruzeiro,mineirao,2003,2024,16,0.6901,-0.0929,-0.4944,0.3085,0.6272,Estável
cuiaba,arena_pantanal,2021,2024,4,0.1711,-2.1579,-7.5502,3.2344,0.2272,Estável
figueirense,orlando_scarpelli,2003,2016,11,0.7312,-0.2010,-0.7552,0.3531,0.4330,Estável
flamengo,maracana,2003,2024,16,0.7075,-0.3336,-0.5621,-0.1051,0.0074,Caindo
fluminense,maracana,2003,2024,17,0.7332,0.0247,-0.3170,0.3663,0.8797,Estável
fortaleza,arena_castelao,2003,2024,9,0.7971,-0.0230,-0.5292,0.4832,0.9175,Estável
goias,serra_dourada,2003,2019,12,0.8553,-0.1238,-0.5819,0.3344,0.5606,Estável
gremio,arena_gremio,2013,2024,11,0.8527,-0.0034,-0.5498,0.5431,0.9892,Estável
gremio,olimpico_poa,2003,2012,9,1.0214,0.0347,-1.1598,1.2292,0.9471,Estável
internacional,beira_rio,2003,2024,20,0.8930,-0.0724,-0.3587,0.2139,0.6016,Estável
juventude,alfredo_jaconi,2003,2024,8,0.9157,-0.1037,-0.5852,0.3779,0.6173,Estável
nautico,aflitos,2007,2012,4,1.1067,2.2551,-0.0060,4.5163,0.0502,Estável
palmeiras,allianz_parque,2015,2024,10,0.5563,-0.2310,-0.9412,0.4793,0.4748,Estável
palmeiras,palestra_italia,2004,2009,6,0.8258,0.9590,-1.8820,3.8000,0.4017,Estável
parana,pinheirao,2003,2006,4,1.0630,-0.7251,-5.0627,3.6126,0.5467,Estável
ponte-preta,moises_lucarelli,2003,2017,9,0.8040,0.3735,-0.1487,0.8957,0.1346,Estável
santos,vila_belmiro,2003,2023,21,0.8645,-0.0064,-0.2880,0.2752,0.9628,Estável
sao-caetano,anacleto_campanella,2003,2006,4,0.7317,-2.7171,-10.5071,5.0729,0.2722,Estável
sao-paulo,morumbi,2003,2024,22,0.7433,0.0037,-0.2679,0.2754,0.9774,Estável
sport,adelmar_costa_carvalho,2007,2021,11,0.9317,-0.5441,-1.0933,0.0052,0.0518,Estável
vasco,sao_januario,2003,2024,16,0.7823,-0.0421,-0.3905,0.3064,0.7994,Estável
vitoria,barradao,2003,2024,11,0.8059,-0.5755,-1.1172,-0.0338,0.0397,Caindo
