temporada,clube,rodada,pts_acum,ppg_acum,rebaixado
2006,athletico-pr,10,13.0000,1.3000,0
2006,botafogo-rj,10,10.0000,1.0000,0
2006,corinthians,10,9.0000,0.9000,0
2006,cruzeiro,10,21.0000,2.1000,0
2006,figueirense,10,15.0000,1.5000,0
2006,flamengo,10,14.0000,1.4000,0
2006,fluminense,10,19.0000,1.9000,0
2006,fortaleza,10,10.0000,1.0000,1
2006,goias,10,17.0000,1.7000,0
2006,gremio,10,15.0000,1.5000,0
2006,internacional,10,21.0000,2.1000,0
2006,juventude,10,14.0000,1.4000,0
2006,palmeiras,10,4.0000,0.4000,0
2006,parana,10,15.0000,1.5000,0
2006,ponte-preta,10,14.0000,1.4000,1
2006,santa-cruz,10,3.0000,0.3000,1
2006,santos,10,18.0000,1.8000,0
2006,sao-caetano,10,11.0000,1.1000,1
2006,sao-paulo,10,20.0000,2.0000,0
2006,vasco,10,13.0000,1.3000,0
2006,athletico-pr,15,17.0000,1.1333,0
2006,botafogo-rj,15,17.0000,1.1333,0
2006,corinthians,15,13.0000,0.8667,0
2006,cruzeiro,15,26.0000,1.7333,0
2006,figueirense,15,22.0000,1.4667,0
2006,flamengo,15,17.0000,1.1333,0
2006,fluminense,15,25.0000,1.6667,0
2006,fortaleza,15,14.0000,0.9333,1
2006,goias,15,19.0000,1.2667,0
2006,gremio,15,20.0000,1.3333,0
2006,internacional,15,26.0000,1.7333,0
2006,juventude,15,20.0000,1.3333,0
2006,palmeiras,15,17.0000,1.1333,0
2006,parana,15,27.0000,1.8000,0
2006,ponte-preta,15,18.0000,1.2000,1
2006,santa-cruz,15,16.0000,1.0667,1
2006,santos,15,27.0000,1.8000,0
2006,sao-caetano,15,18.0000,1.2000,1
2006,sao-paulo,15,30.0000,2.0000,0
2006,vasco,15,22.0000,1.4667,0
2006,athletico-pr,20,25.0000,1.2500,0
2006,botafogo-rj,20,24.0000,1.2000,0
2006,corinthians,20,20.0000,1.0000,0
2006,cruzeiro,20,30.0000,1.5000,0
2006,figueirense,20,30.0000,1.5000,0
2006,flamengo,20,24.0000,1.2000,0
2006,fluminense,20,29.0000,1.4500,0
