rodada,pts,pts_acum,ppg_acum
1,1,1,1.0000
2,0,1,0.5000
3,0,1,0.3333
4,3,4,1.0000
5,1,5,1.0000
6,0,5,0.8333
7,0,5,0.7143
8,1,6,0.7500
9,1,7,0.7778
10,0,7,0.7000
11,1,8,0.7273
12,1,9,0.7500
13,0,9,0.6923
14,3,12,0.8571
15,0,12,0.8000
16,0,12,0.7500
17,3,15,0.8824
18,3,18,1.0000
19,1,19,1.0000
20,0,19,0.9500
21,1,20,0.9524
22,1,21,0.9545
23,1,22,0.9565
24,0,22,0.9167
25,3,25,1.0000
26,0,25,0.9615
27,3,28,1.0370
28,0,28,1.0000
29,1,29,1.0000
30,3,32,1.0667
31,3,35,1.1290
32,3,38,1.1875
33,3,41,1.2424
34,3,44,1.2941
35,3,47,1.3429
36,3,50,1.3889
37,3,53,1.4324
38,3,56,1.4737
