padrao,estadio_id
maracana,maracana
mineirao,mineirao
morumbi,morumbi
morumbis,morumbi
cicero pompeu,morumbi
doutor adhemar de barros,morumbi
dr adhemar de barros,morumbi
neo quimica,arena_corinthians
corinthians,arena_corinthians
itaquer,arena_corinthians
allianz,allianz_parque
palestra italia,palestra_italia
parque antartica,palestra_italia
pacaembu,pacaembu
paulo machado de carvalho,pacaembu
municipal general,pacaembu
municipal paulo,pacaembu
vila belmiro,vila_belmiro
urbano caldeira,vila_belmiro
caninde,caninde
oswaldo teixeira duarte,caninde
osvaldo teixeira duarte,caninde
moises lucarelli,moises_lucarelli
lucarelli,moises_lucarelli
brinco de ouro,brinco_de_ouro
anacleto campanella,anacleto_campanella
campanella,anacleto_campanella
bruno jose daniel,bruno_jose_daniel
bruno j daniel,bruno_jose_daniel
nabi abi chedid,nabizao
nabizao,nabizao
barueri,arena_barueri
prudentao,prudentao
eduardo jose farah,prudentao
beira rio,beira_rio
beira-rio,beira_rio
jose pinheiro borda,beira_rio
pinheiro borda,beira_rio
do gremio,arena_gremio
pedro ludovico,olimpico_goiania
olimpico regional,olimpico_goiania
olimpico monumental,olimpico_poa
olimpico,olimpico_poa
alfredo jaconi,alfredo_jaconi
jaconi,alfredo_jaconi
centenario,centenario_caxias
do vale,estadio_do_vale
baixada,arena_da_baixada
joaquim americo,arena_da_baixada
kyocera,arena_da_baixada
ligga,arena_da_baixada
couto pereira,couto_pereira
vila capanema,vila_capanema
durival de brito,vila_capanema
durival britto,vila_capanema
pinheirao,pinheirao
do cafe,cafe
willie davids,willie_davids
orlando scarpelli,orlando_scarpelli
scarpelli,orlando_scarpelli
ressacada,ressacada
aderbal ramos,ressacada
conda,arena_conda
heriberto hulse,heriberto_hulse
heriberto hulse,heriberto_hulse
joinville,arena_joinville
independencia,independencia
raimundo sampaio,independencia
mrv,arena_mrv
jacare,arena_do_jacare
joaquim henrique nogueira,arena_do_jacare
parque do sabia,parque_do_sabia
sabia,parque_do_sabia
ipatingao,ipatingao
ipatinga,ipatingao
joao lamego,ipatingao
mario helenio,mario_helenio
juiz de fora,mario_helenio
sao januario,sao_januario
januario,sao_januario
vasco da gama,sao_januario
nilton santos,engenhao
engenhao,engenhao
joao havelange,engenhao
olimpico joao,engenhao
luso brasileiro,luso_brasileiro
luso-brasileiro,luso_brasileiro
giulite coutinho,giulite_coutinho
coutinho,giulite_coutinho
raulino de oliveira,raulino_de_oliveira
raulino,raulino_de_oliveira
moacyrzao,moacyrzao
claudio moacyr,moacyrzao
caio martins,caio_martins
barradao,barradao
manoel barradas,barradao
itaipava arena fonte nova,arena_fonte_nova
arena fonte nova,arena_fonte_nova
casa de apostas,arena_fonte_nova
fonte nova,fonte_nova_velha
octavio mangabeira,fonte_nova_velha
pituacu,pituacu
joia da princesa,joia_da_princesa
alberto oliveira,joia_da_princesa
adelmar da costa carvalho,adelmar_costa_carvalho
ilha do retiro,adelmar_costa_carvalho
aflitos,aflitos
arruda,arruda
rego maciel,arruda
pernambuco,arena_pernambuco
serra dourada,serra_dourada
serrinha,serrinha
haile pinheiro,serrinha
antonio accioly,antonio_accioly
accioly,antonio_accioly
castelao de sao luis,castelao_ma
sao luis,castelao_ma
joao castelo,castelao_ma
placido castelo,arena_castelao
arena castelao,arena_castelao
castelao,arena_castelao
presidente vargas,presidente_vargas
pres vargas,presidente_vargas
pantanal,arena_pantanal
morenao,morenao
pedro pedrossian,morenao
mangueirao,mangueirao
olimpico do para,mangueirao
curuzu,curuzu
leonidas castro,curuzu
amazonia,arena_amazonia
vivaldo lima,arena_amazonia
vivaldao,arena_amazonia
rei pele,rei_pele
batistao,batistao
lourival baptista,batistao
machadao,machadao
dunas,arena_das_dunas
mane garrincha,mane_garrincha
garrincha,mane_garrincha
nacional de brasilia,mane_garrincha
brb,mane_garrincha
nacional mane,mane_garrincha
bezerrao,bezerrao
walmir campelo,bezerrao
serejao,serejao
abadio dos santos,serejao
kleber andrade,kleber_andrade
