temporada,n_jogos,n_clubes,jogos_clube_min,jogos_clube_max,turno_returno_completo,gols_batem,campeao_reconstruido,pts_campeao,campeao_ref,bate_campeao
2003,552,24,46,46,True,True,cruzeiro,100,cruzeiro,True
2004,552,24,46,46,True,True,santos,89,santos,True
2005,462,22,42,42,True,True,corinthians,81,corinthians,True
2006,380,20,38,38,True,True,sao-paulo,78,sao-paulo,True
2007,380,20,38,38,True,True,sao-paulo,77,sao-paulo,True
2008,380,20,38,38,True,True,sao-paulo,75,sao-paulo,True
2009,380,20,38,38,True,True,flamengo,67,flamengo,True
2010,380,20,38,38,True,True,fluminense,71,fluminense,True
2011,380,20,38,38,True,True,corinthians,71,corinthians,True
2012,380,20,38,38,True,True,fluminense,77,fluminense,True
2013,380,20,38,38,True,True,cruzeiro,76,cruzeiro,True
2014,380,20,38,38,True,True,cruzeiro,80,cruzeiro,True
2015,380,20,38,38,True,True,corinthians,81,corinthians,True
2016,379,20,37,38,False,True,palmeiras,80,palmeiras,True
2017,380,20,38,38,True,True,corinthians,72,corinthians,True
2018,380,20,38,38,True,True,palmeiras,80,palmeiras,True
2019,380,20,38,38,True,True,flamengo,90,flamengo,True
2020,380,20,38,38,True,True,flamengo,71,flamengo,True
2021,380,20,38,38,True,True,atletico-mg,84,atletico-mg,True
2022,380,20,38,38,True,True,palmeiras,81,palmeiras,True
2023,380,20,38,38,True,True,palmeiras,70,palmeiras,True
2024,380,20,38,38,True,True,botafogo-rj,79,botafogo-rj,True
